access	/ˈækˌsɛs/	v. 获取 n. 接近，入口
ingredient	/ˌɪnˈɡɹidiənt/	n. 成分，原料
revenue	/ˈɹɛvəˌnu/, /ˈɹɛvənˌju/	n. 收入
sensitive	/ˈsɛnsətɪv/, /ˈsɛnsɪtɪv/	adj. 敏感的
particular	/ˌpɑˈtɪkjəɫɝ/, /pɝˈtɪkjəɫɝ/	adj. 特别的，特指的；讲究的；挑剔的，吹毛求疵的
tumor	/ˈtumɝ/	n. 瘤
consequence	/ˈkɑnsəkwəns/	n. 结果，成果
explicitly	/ɪksˈpɫɪsətɫi/	adv. 直接地，明确地
sway	/ˈsweɪ/	v. 影响
technical	/ˈtɛknɪkəɫ/	adj. 技术的
expert	/ˈɛkspɝt/	adj. 熟练的，内行的
harm	/ˈhɑɹm/	n. 损害；危害；伤害 v. 伤害，损害〔某事物〕
imaginary	/ˌɪˈmædʒəˌnɛɹi/	adj. 虚构的，想象的
contaminate	/kənˈtæməˌneɪt/	v. 污染，弄脏
soar	/ˈsɔɹ/	v. 猛增
solely	/ˈsoʊəɫi/	adv. 单独地，唯一地
tremendous	/tɹəˈmɛndəs/, /tɹɪˈmɛndəs/	adj. 巨大的
civilization	/ˌsɪvəɫɪˈzeɪʃən/	n. 文明
tough	/ˈtəf/	adj. 困难的
gift	/ˈɡɪft/	n. 礼物；天赋
scale	/ˈskeɪɫ/	n. 规模；比例
injure	/ˈɪndʒɝ/	v. 使受伤
embrace	/ɛmˈbɹeɪs/, /ɪmˈbɹeɪs/	v. 拥抱；欣然接受，乐意采纳 (新思想、意见、宗教等)
seldom	/ˈsɛɫdəm/	adv. 很少，罕见
performance	/pɝˈfɔɹməns/	n. 演出；履行；表现
violate	/ˈvaɪəɫeɪt/	v. 违反
associate	/əˈsoʊsiˌeɪt/, /əˈsoʊsiət/, /əˈsoʊʃiˌeɪt/, /əˈsoʊʃiət/	v. 把……联系起来；交往；
privacy	/ˈpɹaɪvəsi/	n. 隐私
choke	/ˈtʃoʊk/	v. 使窒息
capable	/ˈkeɪpəbəɫ/	adj. 能干的，有能力的
appeal	/əˈpiɫ/	n. 呼吁 v. 吸引；呼吁；恳请，恳求
careless	/ˈkɛɹɫəs/	adj. 粗心的
hit	/ˈhɪt/	n. (唱片、电影或戏剧的) 成功；命中，击中
swallow	/ˈswɑɫoʊ/, /ˈswɔɫoʊ/	v. 咽下，吞下
consult	/kənˈsəɫt/	v. 咨询
preservation	/ˌpɹɛzɝˈveɪʃən/	n. 保存，保留
distance	/ˈdɪstəns/	n. 距离
plastic	/ˈpɫæstɪk/	adj. 塑料的
predict	/pɹiˈdɪkt/, /pɹɪˈdɪkt/	v. 预言，预测，预告
submit	/səbˈmɪt/	v. 提交
entertainment	/ˌɛnɝˈteɪnmənt/, /ˌɛntɝˈteɪnmənt/	n. 娱乐
critical	/ˈkɹɪtɪkəɫ/	adj. 批评的，爱挑剔的
transaction	/tɹænˈzækʃən/	n. 交易，业务，事务
via	/ˈvaɪə/, /ˈviə/	prep. 通过
insist	/ˌɪnˈsɪst/	v. 主张，坚持
distract	/dɪˈstɹækt/	v. 分心
subdivision	/ˈsəbdɪˌvɪʒən/	n. 分支; 分部
yield	/ˈjiɫd/	v. 产生，得出〔结果、答案或资料 n. 产量
misunderstand	/ˌmɪsəndɝˈstænd/	v. 误解
detail	/ˈditeɪɫ/, /dɪˈteɪɫ/	n. 细节
immeasurable	/ˌɪˈmɛʒɝˌæbəɫ/	adj. 无法估量的
convincing	/kənˈvɪnsɪŋ/	adj. 令人信服的
donate	/ˈdoʊˌneɪt/	v. 捐赠
compare	/kəmˈpɛɹ/	v. 比较，对照
item	/ˈaɪtəm/	n. 〔尤指清单上、一群或一组事物中的〕一项，一件，一条
concrete	/ˈkɑnkɹit/, /kənˈkɹit/	adj. 具体的
govern	/ˈɡəvɝn/	v. 管理，支配
classify	/ˈkɫæsəˌfaɪ/	v. 把…分类，把…分级
restrict	/ɹiˈstɹɪkt/	v. 限制，限定
establish	/ɪˈstæbɫɪʃ/	v. 建立，创办，设立
counseling	/ˈkaʊnsəɫɪŋ/, /ˈkaʊnsɫɪŋ/	n. 咨询服务
majority	/məˈdʒɔɹəti/	n. 多数
contact	/ˈkɑnˌtækt/	n. 联系，接触 v. 〔写信、打电话〕联系〔某人〕
virtual	/ˈvɝtʃuəɫ/	adj. 虚拟的
simplicity	/sɪmˈpɫɪsəti/, /sɪmˈpɫɪsɪti/	n. 简单
enrollment	/ɛnˈɹoʊɫmənt/	n. 入学人数
programming	/ˈpɹoʊˌɡɹæmɪŋ/	n. 〔计算机的〕程序编写，程序设计；程序；；〔电视或广播〕节目；电视[广播]节目策划，编排
device	/dɪˈvaɪs/	n. 装置，设备
previous	/ˈpɹiviəs/	adj. 之前的
alter	/ˈɔɫtɝ/	v. 改变
coach	/ˈkoʊtʃ/	n. 教练 v. 当…的教练，训练，培训
crisis	/ˈkɹaɪsəs/	n. 危机
interconnect	/ˌɪntɝkəˈnɛkt/	v. 相互联系
enrich	/ɛnˈɹɪtʃ/, /ɪnˈɹɪtʃ/	v. 丰富；使富有
poll	/ˈpoʊɫ/	n. 民意调查
consent	/kənˈsɛnt/	v. 允许，同意 n. 同意，赞同
utility	/juˈtɪɫəti/	n. 公用事业〔如煤气、电力等〕
poisonous	/ˈpɔɪzənəs/	adj. 有毒的，有害的
collision	/kəˈɫɪʒən/	n. 冲突，抵触
rank	/ˈɹæŋk/	v. 具有…等级[地位] n. 衔，阶层
fundamentally	/ˌfəndəˈmɛnəɫi/, /ˌfəndəˈmɛntəɫi/	adv. 根本上
inflation	/ˌɪnˈfɫeɪʃən/	n. 通货膨胀
secure	/sɪkˈjʊɹ/	v. 确保……安全
interpret	/ˌɪnˈtɝpɹət/	v. 解释
criticize	/ˈkɹɪtɪˌsaɪz/	v. 批评；评论
arrest	/ɝˈɛst/	v. 逮捕
afford	/əˈfɔɹd/	v. 负担得起
implementation	/ˌɪmpɫəmɛnˈteɪʃən/	n. 实现，履行
initiate	/ˌɪˈnɪʃiˌeɪt/	v. 开始，发起
enable	/ɛˈneɪbəɫ/, /ɪˈneɪbəɫ/	v. 使能够……
narrow	/ˈnæɹoʊ/, /ˈnɛɹoʊ/	adj. 狭窄的
overcharge	/ˈoʊvɝˌtʃɑɹdʒ/	v. 向……多收费
shortcut	/ˈʃɔɹtˌkət/	n. 捷径，近路
leisure	/ˈɫɛʒɝ/, /ˈɫiʒɝ/	n. 悠闲，空闲
original	/ɝˈɪdʒənəɫ/	adj. 原始的，最初的
density	/ˈdɛnsəti/, /ˈdɛnsɪti/	n. 密度
sphere	/ˈsfɪɹ/	n. 球体；范围
margin	/ˈmɑɹdʒən/	n. 页边的空白，页边，白边
department	/dɪˈpɑɹtmənt/	n. 部门
desire	/dɪˈzaɪɝ/	n. 渴望，欲望
legend	/ˈɫɛdʒənd/	n. 传奇
dictator	/ˈdɪkteɪtɝ/, /dɪkˈteɪtɝ/	n. 独裁者；专制者
diversity	/daɪˈvɝsɪti/, /dɪˈvɝsɪti/	n. 多样性；差异
quit	/ˈkwɪt/	v. 放弃
outgoing	/ˈaʊtˌɡoʊɪŋ/	adj. 开朗的；外向的；外出的
solution	/səˈɫuʃən/	n. 解决，解答，解决办法
revenge	/ɹiˈvɛndʒ/	n. 报仇
reverse	/ɹiˈvɝs/, /ɹɪˈvɝs/	n. 相反情况；正相反 a. 相反的
enroll	/ɛnˈɹoʊɫ/, /ɪnˈɹoʊɫ/	v. 注册
logically	/ˈɫɑdʒɪkɫi/	adv. 合乎情理地，符合逻辑地
rental	/ˈɹɛntəɫ/	n. 租金
component	/kəmˈpoʊnənt/	n. 成分
quotation	/kwoʊˈteɪʃən/	n. 引文
faith	/ˈfeɪθ/	n. 信任
invalid	/ˈɪnvəɫəd/, /ˈɪnvəɫɪd/, /ˌɪnˈvæɫəd/	adj. 无效的
invade	/ˌɪnˈveɪd/	v. 侵入，侵略
separately	/ˈsɛpɝətɫi/, /ˈsɛpɹətɫi/	adv. 分别地，另行
strain	/ˈstɹeɪn/	v. 扭伤，拉伤
accessible	/ækˈsɛsəbəɫ/	adj. 易接近的
lap	/ˈɫæp/	n. 〔坐着时的〕大腿部
character	/ˈkɛɹɪktɝ/	n. 角色
widespread	/ˈwaɪdsˈpɹɛd/	adj. 普遍的，广泛的
rearrange	/ˌɹiɝˈeɪndʒ/	v. 重新安排
hospitalize	/ˈhɔˌspɪtəˌɫaɪz/	v. 就医
avail	/əˈveɪɫ/	v. 有益, 有帮助
instant	/ˈɪnstənt/	adj. 立即的；紧急的；速溶的，方便的
democratic	/ˌdɛməˈkɹætɪk/	adj. 民主的
barely	/ˈbɛɹɫi/	adv. 仅仅，几乎不
vanish	/ˈvænɪʃ/	v. 消失
caregiver	/ˈkɛɹˌɡɪvɝ/	n. 照料者
harsh	/ˈhɑɹʃ/	adj. 严酷的
reliable	/ɹiˈɫaɪəbəɫ/, /ɹɪˈɫaɪəbəɫ/	adj. 可靠的，可信赖的
massive	/ˈmæsɪv/	adj. (尺寸、数量、规模) 非常大的
alcohol	/ˈæɫkəˌhɑɫ/	n. 酒精
pregnant	/ˈpɹɛɡnənt/	adj. 怀孕的
adapt	/əˈdæpt/	v. 适应于
bogus	/ˈboʊɡəs/	adj. 假冒的
slippery	/ˈsɫɪpɝi/, /ˈsɫɪpɹi/	adj. 滑的；模糊的，不明确的，
current	/ˈkɑɹənt/, /ˈkɝənt/, /ˈkɝnt/	adj. 当前的
overwhelm	/ˌoʊvɝˈwɛɫm/, /ˌoʊvɝhˈwɛɫm/	v. 压倒，战胜
stressful	/ˈstɹɛsfəɫ/	adj. 充满著压力的，充满著紧张的
toothache	n. 牙痛，牙疼
eliminate	/ɪˈɫɪməˌneɪt/	v. 消除
terminal	/ˈtɝmənəɫ/	n. 终点站，航空站
severe	/səˈvɪɹ/	adj. 严重的
immobile	/ˌɪˈmoʊˌbaɪɫ/, /ˌɪˈmoʊˌbiɫ/, /ˌɪˈmoʊbəɫ/	adj. 稳定的，不变的
diplomatic	/ˌdɪpɫəˈmætɪk/	adj. 外交的
candidate	/ˈkændədeɪt/, /ˈkænədɪt/	n. 申请求职者；投考者；候选人
fund	/ˈfənd/	n. 基金，储备； v. 提供资金
complacency	/kəmˈpɫeɪsənsi/	n. 自满，满足
delight	/dɪˈɫaɪt/	n. 高兴
inadequate	/ˌɪˈnædəˌkweɪt/, /ˌɪˈnædəkwət/	adj. 不足的，不够的
steady	/ˈstɛdi/	adj. 稳定的，逐步的
accurate	/ˈækjɝət/	adj. 精确的，准确的
identification	/aɪˌdɛntəfəˈkeɪʃən/	n. 身份证明；鉴定，识别；认同；
previously	/ˈpɹiviəsɫi/	adv. 事先
identical	/aɪˈdɛntɪkəɫ/	adj. 相同的
retirement	/ɹiˈtaɪɝmənt/, /ɹɪˈtaɪɝmənt/	n. 退休
commit	/kəˈmɪt/	v. 犯罪；承担义务
element	/ˈɛɫəmənt/	n. 要素；元素
assess	/əˈsɛs/	v. 评价
hire	/ˈhaɪɝ/, /ˈhaɪɹ/	v. 雇佣
represent	/ˌɹɛpɹɪˈzɛnt/	v. 代表
overestimate	/ˌoʊvɝˈɛstəˌmeɪt/	v. 对（数量）估计过高
supervision	/ˌsupɝˈvɪʒən/	n. 监督
expose	/ɪkˈspoʊz/	v. 暴露
seemingly	/ˈsimɪŋɫi/	adv. 表面上看
assignment	/əˈsaɪnmənt/	n. 作业
preference	/ˈpɹɛfɝəns/, /ˈpɹɛfɹəns/	n. 偏爱
energetic	/ˌɛnɝˈdʒɛtɪk/	adj. 精力充沛的
application	/ˌæpɫəˈkeɪʃən/	n. 申请；应用
moral	/ˈmɔɹəɫ/	adj. 精神上的, 道德的
dispute	/dɪˈspjut/	n. 辩论，争论 v. 辩论，争论
influence	/ˈɪnfɫuəns/	n. 影响 v. 影响
illegal	/ˌɪˈɫiɡəɫ/	adj. 非法的
esteem	/əˈstim/	n. 自尊
abundant	/əˈbəndənt/	adj. 大量的，丰富的
survey	/ˈsɝˌveɪ/, /sɝˈveɪ/	v. 调查；审视，仔细考虑 n. 调查；勘测，测量，测绘
extensively	/ɪkˈstɛnsɪvɫi/	adv. 广泛地
deserve	/dɪˈzɝv/	v. 值得
crash	/ˈkɹæʃ/	v. 坠落;坠毁;撞击 n. 〔汽车的〕撞车事故；〔飞机的〕坠毁，失事
affirm	/əˈfɝm/	v. 断言，声明
reputation	/ˌɹɛpjəˈteɪʃən/	n. 名气，名声，名誉
degree	/dɪˈɡɹi/	n. 程度
fade	/ˈfeɪd/	v. 逐渐消失
competitor	/kəmˈpɛtətɝ/, /kəmˈpɛtɪtɝ/	n. 竞争者，对手
confuse	/kənˈfjuz/	v. 使混淆，迷惑
task	/ˈtæsk/	n. 任务，工作
lessen	/ˈɫɛsən/	v. 减少
admit	/ədˈmɪt/	v. 承认；容许
bow	/ˈbaʊ/, /ˈboʊ/	v. 鞠躬
division	/dɪˈvɪʒən/	n. 除法；部门
literature	/ˈɫɪtɝətʃɝ/	n. 文学，文学作品；文献；文献
consultant	/kənˈsəɫtənt/	n. 顾问
penalty	/ˈpɛnəɫti/	n. 惩罚
comment	/ˈkɑmɛnt/	n. 评论
major	/ˈmeɪdʒɝ/	adj. 主要的 v. 主修
option	/ˈɑpʃən/, /ˈɔpʃən/	n. 选择
socialize	/ˈsoʊʃəˌɫaɪz/	v. 交往，联谊
bureau	/ˈbjʊɹoʊ/	n. 局
budget	/ˈbədʒɪt/	n. 预算 v. 编预算
pop	/ˈpɑp/	v. 突然出现，跳出
position	/pəˈzɪʃən/	n. 职位
unaffordable	/ənəˈfɔɹdəbəɫ/	adj. 买不起的，负担不起的
function	/ˈfəŋkʃən/	n. 功能 v. 运行
perceive	/pɝˈsiv/	v. 察觉
reserve	/ɹiˈzɝv/, /ɹɪˈzɝv/	v. 留出，预定
innovation	/ˌɪnəˈveɪʃən/, /ˌɪnoʊˈveɪʃən/	n. 改革，创新
alert	/əˈɫɝt/	v. 提醒；使〔某人〕意识到 adj. 机警的
cautious	/ˈkɔʃəs/	adj. 谨慎的
document	/ˈdɑkjəmɛnt/, /ˈdɑkjumɛnt/	n. 文件
characterize	/ˈkɛɹəktɝˌaɪz/	v. 以……特点
achieve	/əˈtʃiv/	v. 完成，实现
address	/ˈæˌdɹɛs/, /əˈdɹɛs/	v. 解决
inspiration	/ˌɪnspɝˈeɪʃən/	n. 灵感
agency	/ˈeɪdʒənsi/	n. 机构
formulate	/ˈfɔɹmjəˌɫeɪt/	v. 规定，制定
fate	/ˈfeɪt/	n. 命运
surf	/ˈsɝf/	v. 冲浪
steer	/ˈstɪɹ/	v. 驾驶
structure	/ˈstɹəktʃɝ/	n. 结构
architect	/ˈɑɹkəˌtɛkt/	n. 建筑师
frame	/ˈfɹeɪm/	n. 框架
amaze	/əˈmeɪz/	v. 使吃惊
affirmation	/ˌæfɝˈmeɪʃən/	n. 断言，肯定
intelligent	/ˌɪnˈtɛɫədʒənt/	adj. 有智慧的，聪明的，悟性强的
code	/ˈkoʊd/	n. 代码，密码
burden	/ˈbɝdən/	n. 重担，负担
absorb	/əbˈzɔɹb/	v. 吸收（液体、气体等）
instruction	/ˌɪnˈstɹəkʃən/	n. 用法说明；操作指南；命令，指示
admission	/ædˈmɪʃən/, /ədˈmɪʃən/	n. 承认；准许进(加)入；入场费
additional	/əˈdɪʃənəɫ/, /əˈdɪʃnəɫ/	adj. 额外的
prejudice	/ˈpɹɛdʒədɪs/	n. 偏见 v. 使有偏见，使有成见
process	/ˈpɹɑˌsɛs/, /ˈpɹɔˌsɛs/	n. 过程，进程；；工序；工艺流程 v. 处理
elegant	/ˈɛɫəɡənt/	adj. 优雅的
hospitable	/ˈhɑˈspɪtəbəɫ/	adj. 热情友好的
refreshing	/ɹɪˈfɹɛʃɪŋ/	adj. 恢复活力的
ensure	/ɛnˈʃʊɹ/, /ɪnˈʃʊɹ/	v. 确保
frighten	/ˈfɹaɪtən/	v. 使惊恐，使恐慌
civilized	/ˈsɪvəˌɫaɪzd/	adj. 文明的
approval	/əˈpɹuvəɫ/	n. 批准，认可；赞成，同意
publicize	/ˈpəbɫɪˌsaɪz/	v. 宣布
resident	/ˈɹɛzɪdənt/	n. 居民
